RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,GENDER,FIRST_GENERATION_IND,ATSI_DESC,ATSI_GROUP,REGIONAL_REMOTE,SES,ADMISSION_PATHWAY,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,44959189
Local,2025,5256,2025 Term 2,Postgraduate,5420,Orientation and Mobility,66580,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,O & M Practice,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Others,VISN5523,5523,WILC,45477795
Local,2025,5259,2025 Term 3,Postgraduate,5420,Orientation and Mobility,66580,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,O & M Practice,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Others,VISN5523,5523,WILC,45477795
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM5030,5030,WILC,45566011
Local,2025,5253,2025 Term 1,Undergraduate,3785,Engineering (Hons) / Comp Sci,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,ENGG4999,4999,WILC,46975232
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ENGG4999,4999,WILC,46976449
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ENGG4999,4999,WILC,47069848
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47113510
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47075804
Local,2025,5256,2025 Term 2,Postgraduate,8926,Teaching (Secondary),59591,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,EDST6760,6760,WILC,1088693
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,1317990
Local,2025,5256,2025 Term 2,Undergraduate,3632,Psychology (Honours),66725,1,SCI,Faculty of Science,PSYC,School of Psychology,Psychology Work Placement 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,PSYC3199,3199,WILC,1315237
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,867450
International,2025,5252,2025 Summer Term,Postgraduate,9150,Juris Doctor,65486,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,JURD7555,7555,WILC,1394805
Local,2025,5253,2025 Term 1,Postgraduate,5213,Legal Professional Practice,65996,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,PLTX1300,1300,WILC,1635926
Local,2025,5253,2025 Term 1,Postgraduate,5213,Legal Professional Practice,65995,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 2,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,PLTX2020,2020,WILC,1635926
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Outer Regional Australia,Medium,HE,MFAC3504,3504,WILC,1647561
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Outer Regional Australia,Medium,HE,MFAC3502,3502,WILC,1647561
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Outer Regional Australia,Medium,HE,MFAC3503,3503,WILC,1647561
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Outer Regional Australia,Medium,HE,MFAC3508,3508,WILC,1647561
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Outer Regional Australia,Medium,HE,MFAC3501,3501,WILC,1647561
Local,2025,5253,2025 Term 1,Undergraduate,3341,Media,65803,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,PR in Practice,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Work & Life,MDIA3012,3012,WILC,1653657
International,2025,5256,2025 Term 2,Undergraduate,3596,Commerce / Media (PR & A),66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM2244,2244,WILC,9814661
Local,2025,5256,2025 Term 2,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,HESC4622,4622,WILC,9838668
Local,2025,5253,2025 Term 1,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,HESC4611,4611,WILC,9838668
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,10494604
Local,2025,5253,2025 Term 1,Undergraduate,3155,Actuarial Studies / Commerce,65713,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Exp.Placement 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM3101,3101,WILC,10824699
Local,2025,5256,2025 Term 2,Undergraduate,3155,Actuarial Studies / Commerce,65713,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Exp.Placement 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM3101,3101,WILC,10824699
Local,2025,5256,2025 Term 2,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,HESC4622,4622,WILC,10830827
Local,2025,5253,2025 Term 1,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,HESC4611,4611,WILC,10830827
Local,2025,5259,2025 Term 3,Undergraduate,3155,Actuarial Studies / Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM2244,2244,WILC,10825606
Local,2025,5256,2025 Term 2,Undergraduate,4825,Design,64957,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Practice of Work,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,CDEV3000,3000,WILC,12075797
Local,2025,5252,2025 Summer Term,Undergraduate,3435,Psychological Science,66725,1,SCI,Faculty of Science,PSYC,School of Psychology,Psychology Work Placement 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Gateway ECO,PSYC3199,3199,WILC,12761206
Local,2025,5259,2025 Term 3,Undergraduate,3529,Commerce/Science,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,COMM2244,2244,WILC,12742520
Local,2025,5256,2025 Term 2,Undergraduate,4076,Science/Education (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,EDST6760,6760,WILC,12717568
Local,2025,5253,2025 Term 1,Undergraduate,3261,Architectural Studies,66712,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,ADA Professional Placement,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,FADA6700,6700,WILC,12716241
Local,2025,5256,2025 Term 2,Undergraduate,3362,City Planning (Hons),66879,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Policies,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3009,3009,WILC,12728807
Local,2025,5253,2025 Term 1,Undergraduate,3362,City Planning (Hons),66871,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Institutions,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3007,3007,WILC,12728807
Local,2025,5253,2025 Term 1,Undergraduate,3362,City Planning (Hons),66866,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Ethics,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3006,3006,WILC,12728807
Local,2025,5256,2025 Term 2,Undergraduate,3362,City Planning (Hons),66880,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Consultation,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PLAN3008,3008,WILC,12728807
International,2025,5253,2025 Term 1,Undergraduate,3784,Commerce / Computer Science,65270,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,ATAR,COMM2222,2222,WILC,12796811
International,2025,5253,2025 Term 1,Postgraduate,8233,International Relations,14376,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,SocSci Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,SRAP5025,5025,WILC,13388210
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,13619109
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,27913672
International,2025,5256,2025 Term 2,Undergraduate,3362,City Planning (Hons),66909,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Global Practice of Work,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,CDEV3300,3300,WILC,28017736
International,2025,5259,2025 Term 3,Postgraduate,8417,Commerce (Extension),66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,28107594
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28278278
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,66709,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5022,5022,WILC,28278278
International,2025,5259,2025 Term 3,Postgraduate,7355,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28486686
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28646063
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28651136
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28713813
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28763483
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28785672
Local,2025,5259,2025 Term 3,Undergraduate,4068,Fine Arts/Education (Sec),62698,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Engagement,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,EDST2002,2002,WILC,29250090
Local,2025,5256,2025 Term 2,Undergraduate,3880,International Public Health,65305,1,MED,Faculty of Medicine and Health,PHCM,School of Population Health,Public Health Capstone,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,PHCM3003,3003,WILC,29260596
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM5030,5030,WILC,44675495
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,44673188
Local,2025,5252,2025 Summer Term,Postgraduate,5213,Legal Professional Practice,65996,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PLTX1300,1300,WILC,45238894
International,2025,5253,2025 Term 1,Undergraduate,3133,Mat Sci and Eng Hons/BiomedEng,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,45611149
Local,2025,5253,2025 Term 1,Postgraduate,5213,Legal Professional Practice,65995,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 2,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PLTX2020,2020,WILC,46868073
Local,2025,5253,2025 Term 1,Postgraduate,5213,Legal Professional Practice,65996,1,LAW,Faculty of Law and Justice,LAW,Faculty of Law and Justice,Workplace Experience 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PLTX1300,1300,WILC,46868073
Local,2025,5253,2025 Term 1,Undergraduate,3765,Engineering (Honours) / Law,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ENGG4999,4999,WILC,47087225
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47075311
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47092432
Local,2025,5253,2025 Term 1,Undergraduate,3767,Engineering (Hons) / Science,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,FEAS,ENGG4999,4999,WILC,47094176
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,FEAS,ENGG4999,4999,WILC,47108794
Local,2025,5256,2025 Term 2,Postgraduate,8266,Clinical Neuropsychology,67107,1,SCI,Faculty of Science,PSYC,School of Psychology,Neuropsychology (NPEP2),F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7238,7238,WILC,505744
Local,2025,5256,2025 Term 2,Postgraduate,8266,Clinical Neuropsychology,67665,1,SCI,Faculty of Science,PSYC,School of Psychology,Professional Psychological,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7777,7777,WILC,505744
Local,2025,5253,2025 Term 1,Postgraduate,8266,Clinical Neuropsychology,67665,1,SCI,Faculty of Science,PSYC,School of Psychology,Professional Psychological,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7777,7777,WILC,505744
Local,2025,5253,2025 Term 1,Postgraduate,8266,Clinical Neuropsychology,67106,1,SCI,Faculty of Science,PSYC,School of Psychology,Neuropsychology (NPEP1),F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7237,7237,WILC,505744
International,2025,5253,2025 Term 1,Postgraduate,9313,Design,16392,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ADAD9115,9115,WILC,1334954
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,1089025
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3509,3509,WILC,750187
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3506,3506,WILC,750187
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3508,3508,WILC,750187
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3515,3515,WILC,750187
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3514,3514,WILC,750187
Local,2025,5253,2025 Term 1,Undergraduate,4795,Data Sci and Decisions / Law,62993,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",Environment Court Clinic,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,LAWS3302,3302,WILC,1272288
International,2025,5253,2025 Term 1,Postgraduate,8415,Professional Accounting (Ext),64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,1336082
Local,2025,5253,2025 Term 1,Undergraduate,4053,Arts / Education (Secondary),65316,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,EDST6765,6765,WILC,1678156
Local,2025,5256,2025 Term 2,Undergraduate,4053,Arts / Education (Secondary),65316,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,EDST6765,6765,WILC,9812670
Local,2025,5256,2025 Term 2,Undergraduate,3462,Commerce/Education (Secondary),65316,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,EDST6765,6765,WILC,9799915
Local,2025,5259,2025 Term 3,Undergraduate,4033,Social Work (Honours),65522,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement Lvl 4 B,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,SOCW4018,4018,WILC,9842449
Local,2025,5256,2025 Term 2,Undergraduate,4033,Social Work (Honours),65524,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement  Lvl 4 A,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,SOCW4017,4017,WILC,9842449
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,COMM5030,5030,WILC,9887052
International,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,62771,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Clinical Transition,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC2507,2507,WILC,9986160
Local,2025,5256,2025 Term 2,Postgraduate,8257,Psychology (Forensic),66403,1,SCI,Faculty of Science,PSYC,School of Psychology,Prof & Ethical Prac (For) 5,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,PSYC7421,7421,WILC,10685732
Local,2025,5253,2025 Term 1,Postgraduate,8257,Psychology (Forensic),66404,1,SCI,Faculty of Science,PSYC,School of Psychology,Prof & Ethical Prac (For) 4,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,PSYC7420,7420,WILC,10685732
Local,2025,5259,2025 Term 3,Postgraduate,8257,Psychology (Forensic),66402,1,SCI,Faculty of Science,PSYC,School of Psychology,Prof & Ethical Prac (For) 6,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,PSYC7422,7422,WILC,10685732
Local,2025,5256,2025 Term 2,Postgraduate,8257,Psychology (Forensic),67665,1,SCI,Faculty of Science,PSYC,School of Psychology,Professional Psychological,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,PSYC7777,7777,WILC,10685732
Local,2025,5253,2025 Term 1,Postgraduate,8257,Psychology (Forensic),67665,1,SCI,Faculty of Science,PSYC,School of Psychology,Professional Psychological,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,PSYC7777,7777,WILC,10685732
Local,2025,5256,2025 Term 2,Undergraduate,4733,Commerce / Law,63930,1,COMM,UNSW Business School,COMM,UNSW Business School,Global Business Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM3020,3020,WILC,10827405
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,MFAC2514,2514,WILC,10823261
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,MFAC2515,2515,WILC,10823261
